corpus_size,bilingual_size,avg_sim_test,wordsim_dataset,correlation_score,p_value,exec_time
54708929,4516,0.43458362427303027,0,0.26843676368028863,0.16722436920549133,5.291205883026123
54708929,4516,0.43458362427303027,1,0.3284117798776337,0.0091604805809091996,5.291205883026123
54708929,4516,0.43458362427303027,2,0.35168245531435888,5.5677907813496528e-08,5.291205883026123
54708929,4516,0.43458362427303027,3,0.46560607156749356,3.823759837830691e-144,5.291205883026123
54708929,4516,0.43458362427303027,4,0.55798522083924651,4.1720128783662008e-22,5.291205883026123
54708929,6774,0.44753357226927465,0,0.26667628115709785,0.17013362552189515,5.522655010223389
54708929,6774,0.44753357226927465,1,0.34470736134154184,0.0060764142808955339,5.522655010223389
54708929,6774,0.44753357226927465,2,0.36207260429742616,2.091329869535652e-08,5.522655010223389
54708929,6774,0.44753357226927465,3,0.47120412710663406,4.7292036349892024e-148,5.522655010223389
54708929,6774,0.44753357226927465,4,0.577417301884245,6.7769101790050744e-24,5.522655010223389
54708929,9032,0.45492254056320247,0,0.25711292217823217,0.18656168701741854,5.724231004714966
54708929,9032,0.45492254056320247,1,0.35472160555011922,0.0046714241633775879,5.724231004714966
54708929,9032,0.45492254056320247,2,0.35264513804067665,5.0923656152476945e-08,5.724231004714966
54708929,9032,0.45492254056320247,3,0.47571912720467069,2.9488976301014297e-151,5.724231004714966
54708929,9032,0.45492254056320247,4,0.57691897326482267,7.5580976338216412e-24,5.724231004714966
54708929,11291,0.46060412969367204,0,0.26331488501478117,0.17578719247966124,5.921255826950073
54708929,11291,0.46060412969367204,1,0.37089574384841301,0.0030009971214809122,5.921255826950073
54708929,11291,0.46060412969367204,2,0.34648273933231255,8.9707330011987809e-08,5.921255826950073
54708929,11291,0.46060412969367204,3,0.4816824344182854,1.4520562293243586e-155,5.921255826950073
54708929,11291,0.46060412969367204,4,0.57256425513890197,1.9455353232988529e-23,5.921255826950073
82063393,4516,0.43930564158357438,0,0.26747782429742639,0.16880465574406883,6.463740825653076
82063393,4516,0.43930564158357438,1,0.37900090095168348,0.0023837079063874522,6.463740825653076
82063393,4516,0.43930564158357438,2,0.37099747148737638,8.7664896676469954e-09,6.463740825653076
82063393,4516,0.43930564158357438,3,0.48883752575356232,3.8243309860079835e-161,6.463740825653076
82063393,4516,0.43930564158357438,4,0.59965901165015734,1.7406370262860031e-26,6.463740825653076
82063393,6774,0.45084814651360222,0,0.27617520552616637,0.15485318544388438,6.600303888320923
82063393,6774,0.45084814651360222,1,0.39740965891962066,0.0013821309729597606,6.600303888320923
82063393,6774,0.45084814651360222,2,0.38044250057360457,3.3926234017875183e-09,6.600303888320923
82063393,6774,0.45084814651360222,3,0.49029753640541934,3.0696016459740559e-162,6.600303888320923
82063393,6774,0.45084814651360222,4,0.61955898249681318,1.2252169524393142e-28,6.600303888320923
82063393,9032,0.45734343652412396,0,0.2650807804154392,0.17280090902834433,6.797987937927246
82063393,9032,0.45734343652412396,1,0.39760143919752639,0.0013740790100045088,6.797987937927246
82063393,9032,0.45734343652412396,2,0.38217254344095625,2.841705059015713e-09,6.797987937927246
82063393,9032,0.45734343652412396,3,0.49570860670186812,2.4008527616754228e-166,6.797987937927246
82063393,9032,0.45734343652412396,4,0.61885498882449375,1.4689017037288927e-28,6.797987937927246
82063393,11291,0.46256332365258346,0,0.27818347748187489,0.15175244614646635,7.009711027145386
82063393,11291,0.46256332365258346,1,0.41152183450464525,0.00089076921972399521,7.009711027145386
82063393,11291,0.46256332365258346,2,0.37700959016602215,4.8074577365844986e-09,7.009711027145386
82063393,11291,0.46256332365258346,3,0.5003119399764262,6.7302030554259932e-170,7.009711027145386
82063393,11291,0.46256332365258346,4,0.61960082472147338,1.2120608053158748e-28,7.009711027145386
109417858,4516,0.43799063618748418,0,0.26947832656016485,0.16551980246817607,7.246451139450073
109417858,4516,0.43799063618748418,1,0.38413500174429943,0.0020539387486146342,7.246451139450073
109417858,4516,0.43799063618748418,2,0.35037548326567752,6.2820678664154511e-08,7.246451139450073
109417858,4516,0.43799063618748418,3,0.49042297848996641,9.0576098860585281e-164,7.246451139450073
109417858,4516,0.43799063618748418,4,0.5952292928862194,5.0076835038862393e-26,7.246451139450073
109417858,6774,0.44924155232335417,0,0.28438139329845347,0.14246382545416972,7.333107233047485
109417858,6774,0.44924155232335417,1,0.40274439497248055,0.001173279168505291,7.333107233047485
109417858,6774,0.44924155232335417,2,0.36423958099646986,1.6974524925438372e-08,7.333107233047485
109417858,6774,0.44924155232335417,3,0.49280951229624387,1.3739973106759408e-165,7.333107233047485
109417858,6774,0.44924155232335417,4,0.60341962569787444,7.0059885676837872e-27,7.333107233047485
109417858,9032,0.45537960536212296,0,0.27961372274230373,0.14957146152126141,7.549965143203735
109417858,9032,0.45537960536212296,1,0.40254455025312069,0.0011805592061575254,7.549965143203735
109417858,9032,0.45537960536212296,2,0.3695684507845734,1.0093956241557854e-08,7.549965143203735
109417858,9032,0.45537960536212296,3,0.49767052752831925,2.4431581259026152e-169,7.549965143203735
109417858,9032,0.45537960536212296,4,0.61158250219957166,9.3175088103240376e-28,7.549965143203735
109417858,11291,0.460361151675723,0,0.28713329549343475,0.13847407402858175,7.764493227005005
