corpus_size,bilingual_size,avg_sim_test,wordsim_dataset,correlation_score,p_value,exec_time
23887762,4516,0.44081578084489292,0,0.29736193426582919,0.14013382250921375,2.336637020111084
23887762,4516,0.44081578084489292,1,0.41709384499002061,0.0013840446945043222,2.336637020111084
23887762,4516,0.44081578084489292,2,0.31289868224163347,1.5957052272706446e-06,2.336637020111084
23887762,4516,0.44081578084489292,3,0.46644600957136589,1.4952243243780771e-143,2.336637020111084
23887762,4516,0.44081578084489292,4,0.50207932535615885,2.6314695704511831e-17,2.336637020111084
23887762,6774,0.45612370954673848,0,0.29317559053571585,0.14607103352769787,2.538639783859253
23887762,6774,0.45612370954673848,1,0.44458617887806989,0.00059734090136090965,2.538639783859253
23887762,6774,0.45612370954673848,2,0.33081702087331022,3.5857905461905729e-07,2.538639783859253
23887762,6774,0.45612370954673848,3,0.47079408366983133,1.4532505189003427e-146,2.538639783859253
23887762,6774,0.45612370954673848,4,0.49782166286336588,5.3483364782419504e-17,2.538639783859253
23887762,9032,0.46434393119383494,0,0.30976272883393158,0.12356862374889467,2.7741639614105225
23887762,9032,0.46434393119383494,1,0.45396226808956081,0.0004411739474004973,2.7741639614105225
23887762,9032,0.46434393119383494,2,0.34002733379935141,1.6025823931775806e-07,2.7741639614105225
23887762,9032,0.46434393119383494,3,0.47516264053194551,1.2347618212781849e-149,2.7741639614105225
23887762,9032,0.46434393119383494,4,0.49675677191562811,6.3766083959946592e-17,2.7741639614105225
23887762,11291,0.4718903407245294,0,0.31472435451424119,0.11735850333600592,2.9636261463165283
23887762,11291,0.4718903407245294,1,0.45672229709950096,0.00040285105069077511,2.9636261463165283
23887762,11291,0.4718903407245294,2,0.33283872574549661,3.0115058202616751e-07,2.9636261463165283
23887762,11291,0.4718903407245294,3,0.48029295358211327,2.6789030018910428e-153,2.9636261463165283
23887762,11291,0.4718903407245294,4,0.50179987216009503,2.757701576196755e-17,2.9636261463165283
35831643,4516,0.44239240705109234,0,0.26348070945239621,0.18420792618881937,5.136309862136841
35831643,4516,0.44239240705109234,1,0.43110998505991588,0.00072892273270896426,5.136309862136841
35831643,4516,0.44239240705109234,2,0.30472485761708124,3.0549356274337435e-06,5.136309862136841
35831643,4516,0.44239240705109234,3,0.4781243235823302,9.6434445131457458e-152,5.136309862136841
35831643,4516,0.44239240705109234,4,0.54880223278031282,4.5911258060605754e-21,5.136309862136841
35831643,6774,0.45656127214900183,0,0.2407415711730676,0.22642219434202185,5.294410943984985
35831643,6774,0.45656127214900183,1,0.44352939930443369,0.00048831717910980657,5.294410943984985
35831643,6774,0.45656127214900183,2,0.31615689641993261,1.2250480349780117e-06,5.294410943984985
35831643,6774,0.45656127214900183,3,0.48155205788660888,3.3054024244660472e-154,5.294410943984985
35831643,6774,0.45656127214900183,4,0.5401844590271988,2.4378472710852637e-20,5.294410943984985
35831643,9032,0.46364445487720574,0,0.24163016908975835,0.22466040352938693,5.472412824630737
35831643,9032,0.46364445487720574,1,0.44897794138827479,0.00040763052507269162,5.472412824630737
