corpus_size,bilingual_size,red_mean_sq_error,evaluation_dataset,correlation_score,p_value,exec_time
54708929,4516,54.714282190275064,0,0.35168245531435888,5.5677907813496528e-08,2.7887558937072754
54708929,4516,54.714282190275064,1,0.46560607156749356,3.823759837830691e-144,2.7887558937072754
54708929,4516,54.714282190275064,2,0.55798522083924651,4.1720128783662008e-22,2.7887558937072754
54708929,4516,54.714282190275064,3,0.45103165835413045,2.6253325566697605e-39,2.7887558937072754
54708929,6774,55.633214453373014,0,0.36207260429742616,2.091329869535652e-08,3.0063259601593018
54708929,6774,55.633214453373014,1,0.47120412710663406,4.7292036349892024e-148,3.0063259601593018
54708929,6774,55.633214453373014,2,0.577417301884245,6.7769101790050744e-24,3.0063259601593018
54708929,6774,55.633214453373014,3,0.45806419504879609,1.2243714668544101e-40,3.0063259601593018
54708929,9032,56.185648521635876,0,0.35264513804067665,5.0923656152476945e-08,3.202781915664673
54708929,9032,56.185648521635876,1,0.47571912720467069,2.9488976301014297e-151,3.202781915664673
54708929,9032,56.185648521635876,2,0.57691897326482267,7.5580976338216412e-24,3.202781915664673
54708929,9032,56.185648521635876,3,0.46449296858778377,6.9738607721469466e-42,3.202781915664673
54708929,11291,56.49047906230895,0,0.34648273933231255,8.9707330011987809e-08,3.3958568572998047
54708929,11291,56.49047906230895,1,0.4816824344182854,1.4520562293243586e-155,3.3958568572998047
54708929,11291,56.49047906230895,2,0.57256425513890197,1.9455353232988529e-23,3.3958568572998047
54708929,11291,56.49047906230895,3,0.46779142897237341,1.5653750088123244e-42,3.3958568572998047
82063393,4516,53.359507010149308,0,0.37099747148737638,8.7664896676469954e-09,6.643562078475952
82063393,4516,53.359507010149308,1,0.48883752575356232,3.8243309860079835e-161,6.643562078475952
82063393,4516,53.359507010149308,2,0.59965901165015734,1.7406370262860031e-26,6.643562078475952
82063393,4516,53.359507010149308,3,0.46124836484947829,2.9843909414453148e-41,6.643562078475952
82063393,6774,54.173317168396295,0,0.38044250057360457,3.3926234017875183e-09,6.754355192184448
82063393,6774,54.173317168396295,1,0.49029753640541934,3.0696016459740559e-162,6.754355192184448
82063393,6774,54.173317168396295,2,0.61955898249681318,1.2252169524393142e-28,6.754355192184448
82063393,6774,54.173317168396295,3,0.47225041968699782,2.0236365213277587e-43,6.754355192184448
82063393,9032,54.64498750609161,0,0.38217254344095625,2.841705059015713e-09,6.974003076553345
82063393,9032,54.64498750609161,1,0.49570860670186812,2.4008527616754228e-166,6.974003076553345
82063393,9032,54.64498750609161,2,0.61885498882449375,1.4689017037288927e-28,6.974003076553345
82063393,9032,54.64498750609161,3,0.47763211325012894,1.645079008544966e-44,6.974003076553345
82063393,11291,54.917137586738221,0,0.37700959016602215,4.8074577365844986e-09,7.347617149353027
82063393,11291,54.917137586738221,1,0.5003119399764262,6.7302030554259932e-170,7.347617149353027
82063393,11291,54.917137586738221,2,0.61960082472147338,1.2120608053158748e-28,7.347617149353027
82063393,11291,54.917137586738221,3,0.47854762899867143,1.0686364889991384e-44,7.347617149353027
109417858,4516,52.725733307159651,0,0.35037548326567752,6.2820678664154511e-08,8.445088863372803
109417858,4516,52.725733307159651,1,0.49042297848996641,9.0576098860585281e-164,8.445088863372803
109417858,4516,52.725733307159651,2,0.5952292928862194,5.0076835038862393e-26,8.445088863372803
109417858,4516,52.725733307159651,3,0.47506388144812522,5.4795816947440874e-44,8.445088863372803
109417858,6774,53.513720855164578,0,0.36423958099646986,1.6974524925438372e-08,8.538623094558716
109417858,6774,53.513720855164578,1,0.49280951229624387,1.3739973106759408e-165,8.538623094558716
