corpus_size,bilingual_size,red_mean_sq_error,wordsim_dataset,correlation_score,p_value,exec_time
54708929,4516,54.714282190275064,0,0.35168245531435888,5.5677907813496528e-08,6.827425956726074
54708929,4516,54.714282190275064,1,0.46560607156749356,3.823759837830691e-144,6.827425956726074
54708929,4516,54.714282190275064,2,0.55798522083924651,4.1720128783662008e-22,6.827425956726074
54708929,6774,55.633214453373014,0,0.36207260429742616,2.091329869535652e-08,7.047290086746216
54708929,6774,55.633214453373014,1,0.47120412710663406,4.7292036349892024e-148,7.047290086746216
54708929,6774,55.633214453373014,2,0.577417301884245,6.7769101790050744e-24,7.047290086746216
54708929,9032,56.185648521635876,0,0.35264513804067665,5.0923656152476945e-08,7.247460126876831
54708929,9032,56.185648521635876,1,0.47571912720467069,2.9488976301014297e-151,7.247460126876831
54708929,9032,56.185648521635876,2,0.57691897326482267,7.5580976338216412e-24,7.247460126876831
54708929,11291,56.49047906230895,0,0.34648273933231255,8.9707330011987809e-08,7.483148813247681
54708929,11291,56.49047906230895,1,0.4816824344182854,1.4520562293243586e-155,7.483148813247681
54708929,11291,56.49047906230895,2,0.57256425513890197,1.9455353232988529e-23,7.483148813247681
82063393,4516,53.359507010149308,0,0.37099747148737638,8.7664896676469954e-09,6.860421895980835
82063393,4516,53.359507010149308,1,0.48883752575356232,3.8243309860079835e-161,6.860421895980835
82063393,4516,53.359507010149308,2,0.59965901165015734,1.7406370262860031e-26,6.860421895980835
82063393,6774,54.173317168396295,0,0.38044250057360457,3.3926234017875183e-09,6.982048034667969
82063393,6774,54.173317168396295,1,0.49029753640541934,3.0696016459740559e-162,6.982048034667969
82063393,6774,54.173317168396295,2,0.61955898249681318,1.2252169524393142e-28,6.982048034667969
82063393,9032,54.64498750609161,0,0.38217254344095625,2.841705059015713e-09,7.255401134490967
82063393,9032,54.64498750609161,1,0.49570860670186812,2.4008527616754228e-166,7.255401134490967
82063393,9032,54.64498750609161,2,0.61885498882449375,1.4689017037288927e-28,7.255401134490967
82063393,11291,54.917137586738221,0,0.37700959016602215,4.8074577365844986e-09,7.412693977355957
82063393,11291,54.917137586738221,1,0.5003119399764262,6.7302030554259932e-170,7.412693977355957
82063393,11291,54.917137586738221,2,0.61960082472147338,1.2120608053158748e-28,7.412693977355957
109417858,4516,52.725733307159651,0,0.35037548326567752,6.2820678664154511e-08,9.422245979309082
109417858,4516,52.725733307159651,1,0.49042297848996641,9.0576098860585281e-164,9.422245979309082
109417858,4516,52.725733307159651,2,0.5952292928862194,5.0076835038862393e-26,9.422245979309082
109417858,6774,53.513720855164578,0,0.36423958099646986,1.6974524925438372e-08,9.52200198173523
109417858,6774,53.513720855164578,1,0.49280951229624387,1.3739973106759408e-165,9.52200198173523
109417858,6774,53.513720855164578,2,0.60341962569787444,7.0059885676837872e-27,9.52200198173523
109417858,9032,53.939426047994957,0,0.3695684507845734,1.0093956241557854e-08,9.749661922454834
109417858,9032,53.939426047994957,1,0.49767052752831925,2.4431581259026152e-169,9.749661922454834
109417858,9032,53.939426047994957,2,0.61158250219957166,9.3175088103240376e-28,9.749661922454834
109417858,11291,54.191180271114206,0,0.36811292967456394,1.1644664231256432e-08,9.96497893333435
109417858,11291,54.191180271114206,1,0.50129238477242899,3.5824595064978066e-172,9.96497893333435
109417858,11291,54.191180271114206,2,0.61446666304488817,4.5040994174542517e-28,9.96497893333435
136772323,4516,53.596476118443462,0,0.36558142227288692,1.4905360662601263e-08,9.01466989517212
136772323,4516,53.596476118443462,1,0.49667137828932834,1.4578194986858676e-168,9.01466989517212
136772323,4516,53.596476118443462,2,0.61301459693003213,6.5005836544951021e-28,9.01466989517212
136772323,6774,54.321762118306772,0,0.3707787473606855,8.9581370593401907e-09,9.091334819793701
136772323,6774,54.321762118306772,1,0.49962245932558086,7.3280399735452918e-171,9.091334819793701
136772323,6774,54.321762118306772,2,0.62031698253651746,1.0073180541225097e-28,9.091334819793701
136772323,9032,54.739949910079787,0,0.37499085212431349,5.8900302059369191e-09,9.310744762420654
136772323,9032,54.739949910079787,1,0.50614268192789458,5.0741934622636197e-176,9.310744762420654
136772323,9032,54.739949910079787,2,0.62515002640428374,2.8537085997905285e-29,9.310744762420654
136772323,11291,54.967522436955043,0,0.37708270999065124,4.7720987006686999e-09,9.493417024612427
136772323,11291,54.967522436955043,1,0.51159088815011855,2.0290336801215114e-180,9.493417024612427
136772323,11291,54.967522436955043,2,0.62682970269948668,1.8314268097526476e-29,9.493417024612427
